Año,Trimestre,Provincia,Accesos telefonía fija (total),Accesos telefonía fija (hogares),Accesos telefonía fija (comercial),Accesos telefonía fija (gobierno),Accesos telefonía fija (otros)
2018,4,Capital Federal,1.753.365,1.567.223,127.972,7.121,51.049
2018,4,Catamarca,36.970,33.046,2.698,150,1.076
2018,4,Chaco,95.754,85.588,6.989,389,2.788
2018,4,Chubut,117.520,105.044,8.577,477,3.422
2018,4,Córdoba,671.019,599.782,48.975,2.725,19.537
2018,4,Corrientes,96.921,86.631,7.074,394,2.822
2018,4,Entre Ríos,207.407,185.388,15.138,842,6.039
2018,4,Formosa,38.705,34.596,2.825,157,1.127
2018,4,Jujuy,52.432,46.865,3.827,213,1.527
2018,4,La Pampa,76.460,68.342,5.581,311,2.226
2018,4,La Rioja,33.864,30.268,2.472,138,986
2018,4,Mendoza,360.697,322.404,26.326,1.465,10.502
2018,4,Misiones,104.246,93.179,7.609,423,3.035
2018,4,Neuquén,109.166,97.577,7.968,443,3.178
2018,4,Río Negro,139.693,124.863,10.196,567,4.067
2018,4,Salta,126.296,112.888,9.218,513,3.677
2018,4,San Juan,115.257,103.021,8.412,468,3.356
2018,4,San Luis,51.830,46.328,3.783,210,1.509
2018,4,Santa Cruz,44.277,39.576,3.232,180,1.289
2018,4,Santa Fe,697.606,623.546,50.916,2.833,20.311
2018,4,Santiago del Estero,74.168,66.295,5.413,301,2.159
2018,4,Tierra del Fuego,33.372,29.828,2.436,136,972
2018,4,Tucumán,210.346,188.016,15.352,854,6.124
2018,3,Buenos Aires,4.492.692,4.011.556,328.786,17.993,134.357
2018,3,Capital Federal,1.775.534,1.585.386,129.938,7.111,53.099
2018,3,Catamarca,37.877,33.820,2.772,152,1.133
2018,3,Chaco,91.629,81.816,6.706,367,2.740
2018,3,Chubut,116.981,104.453,8.561,469,3.498
2018,3,Córdoba,674.653,602.402,49.373,2.702,20.176
2018,3,Corrientes,94.809,84.656,6.938,380,2.835
2018,3,Entre Ríos,200.199,178.759,14.651,802,5.987
2018,3,Formosa,39.405,35.185,2.884,158,1.178
2018,3,Jujuy,53.058,47.376,3.883,212,1.587
2018,3,La Pampa,75.708,67.601,5.540,303,2.264
2018,3,La Rioja,34.553,30.853,2.529,138,1.033
2018,3,Mendoza,360.459,321.856,26.379,1.444,10.780
2018,3,Misiones,103.894,92.768,7.603,416,3.107
2018,3,Neuquén,97.134,86.731,7.109,389,2.905
2018,3,Río Negro,139.713,124.750,10.225,560,4.178
2018,3,Salta,129.587,115.710,9.483,519,3.875
2018,3,San Juan,115.192,102.856,8.430,461,3.445
2018,3,San Luis,44.305,39.561,3.242,177,1.325
2018,3,Santa Cruz,44.198,39.464,3.235,177,1.322
2018,3,Santa Fe,672.622,600.589,49.224,2.694,20.115
2018,3,Santiago del Estero,53.667,47.920,3.927,215,1.605
2018,3,Tierra del Fuego,33.372,29.798,2.442,134,998
2018,3,Tucumán,213.747,190.856,15.643,856,6.392
2018,2,Buenos Aires,4.477.907,3.986.269,328.629,17.754,145.255
2018,2,Capital Federal,1.742.825,1.551.477,127.904,6.910,56.534
2018,2,Catamarca,38.159,33.970,2.800,151,1.238
2018,2,Chaco,97.970,87.214,7.190,388,3.178
2018,2,Chubut,117.005,104.159,8.587,464,3.795
