Año,Trimestre,Provincia,Accesos telefonía fija por cada 100 hab,Accesos telefonía fija por cada 100 hogares
2018,3,San Juan,1.504,5.904
2018,3,San Luis,892,3.117
2018,3,Santa Cruz,1.266,4.255
2018,3,Santa Fe,1.929,6.136
2018,3,Santiago del Estero,559,2.253
2018,3,Tierra del Fuego,2.015,6.795
2018,3,Tucumán,1.289,5.205
2018,4,Buenos Aires,2.640,8.098
2018,4,Capital Federal,5.712,13.667
2018,4,Catamarca,902,3.548
2018,4,Chaco,808,3.022
2018,4,Chubut,1.950,6.361
2018,4,Córdoba,1.814,5.923
2018,4,Corrientes,877,3.330
2018,4,Entre Ríos,1.519,5.079
2018,4,Formosa,648,2.546
2018,4,Jujuy,692,2.707
2018,4,La Pampa,2.162,6.562
2018,4,La Rioja,879,3.301
2018,4,Mendoza,1.842,6.601
2018,4,Misiones,841,3.089
2018,4,Neuquén,1.678,5.638
2018,4,Río Negro,1.907,6.201
2018,4,Salta,905,3.735
2018,4,San Juan,1.501,5.892
2018,4,San Luis,1.040,3.634
2018,4,Santa Cruz,1.260,4.235
2018,4,Santa Fe,1.997,6.351
2018,4,Santiago del Estero,771,3.105
2018,4,Tierra del Fuego,2.002,6.752
2018,4,Tucumán,1.265,5.107
2019,1,Buenos Aires,2.058,6.300
2019,1,Capital Federal,5.210,12.482
2019,1,Catamarca,881,3.464
2019,1,Chaco,788,2.950
2019,1,Chubut,1.467,4.784
2019,1,Córdoba,1.769,5.778
2019,1,Corrientes,858,3.259
2019,1,Entre Ríos,1.488,4.978
2019,1,Formosa,632,2.481
2019,1,Jujuy,682,2.668
2019,1,La Pampa,1.859,5.642
2019,1,La Rioja,849,3.189
2019,1,Mendoza,1.228,4.399
2019,1,Misiones,818,3.004
2019,1,Neuquén,1.280,4.299
2019,1,Río Negro,1.366,4.441
2019,1,Salta,878,3.623
2019,1,San Juan,1.116,4.379
2019,1,San Luis,858,2.999
2019,1,Santa Cruz,966,3.247
2019,1,Santa Fe,1.958,6.226
2019,1,Santiago del Estero,755,3.043
2019,1,Tierra del Fuego,1.501,5.062
2019,1,Tucumán,1.239,5.003
2019,2,Buenos Aires,1.633,4.988
2019,2,Capital Federal,3.711,8.903
2019,2,Catamarca,852,3.351
2019,2,Chaco,769,2.878
2019,2,Chubut,1.417,4.622
2019,2,Córdoba,1.733,5.660
2019,2,Corrientes,842,3.196
2019,2,Entre Ríos,1.459,4.880
2019,2,Formosa,613,2.409
2019,2,Jujuy,673,2.631
2019,2,La Pampa,1.819,5.520
2019,2,La Rioja,814,3.056
2019,2,Mendoza,1.182,4.235
2019,2,Misiones,797,2.927
2019,2,Neuquén,1.248,4.194
2019,2,Río Negro,1.314,4.271
2019,2,Salta,852,3.518
2019,2,San Juan,1.089,4.275
2019,2,San Luis,668,2.333
2019,2,Santa Cruz,927,3.114
2019,2,Santa Fe,1.914,6.087
2019,2,Santiago del Estero,739,2.977
2019,2,Tierra del Fuego,1.436,4.844
2019,2,Tucumán,1.205,4.863
2019,3,Buenos Aires,1.963,5.981
2019,3,Capital Federal,4.873,11.704
2019,3,Catamarca,792,3.115
2019,3,Chaco,739,2.765
2019,3,Chubut,1.375,4.484
2019,3,Córdoba,1.642,5.364
2019,3,Corrientes,819,3.111
2019,3,Entre Ríos,1.412,4.724
2019,3,Formosa,598,2.351
2019,3,Jujuy,656,2.566
2019,3,La Pampa,1.792,5.438
2019,3,La Rioja,759,2.852
